name,img,points
云南人的鸡枞油,https://i2.chuimg.com/0dc430e4692a4571843b7fe3fff475ab_3414w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南米线,https://i2.chuimg.com/891efdbc68a741319655bac12ff3a142_744w_992h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南的花—棠梨花,https://i2.chuimg.com/556033ac58f946efb3618e08580bd167_992w_744h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南小锅米线,https://i2.chuimg.com/225c3c0dcc2d4f5a800617a0beb7f3d5_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
免揉面·云南玫瑰花饼｜柏翠k85pro,https://i2.chuimg.com/952232a545b946f6a2286a66353bbf05_1921w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
【薄荷卷牛肉】云南人的秘制卤牛肉，夏天吃不油腻,https://i2.chuimg.com/cf374d675a6b4b1f803634b13546e67e_1920w_1280h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.7
云南米线怎么做,https://i2.chuimg.com/bcc3653b2a814acb91ef322bc8e41b6a_912w_684h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南,https://i2.chuimg.com/422904d314a04cf39767ceab1b923f47_1242w_1460h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南臭菜厚蛋烧,https://i2.chuimg.com/d0ef0fff5242494ca574a76522dcb37e_1024w_768h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南糖腿破酥包,https://i2.chuimg.com/87463278a91b41068284440e3acc91a1_2733w_2733h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南特色面点，小茴饼,https://i2.chuimg.com/edaa38e14a9449e28281d71ca696d39e_1024w_768h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南薄荷炸排骨,https://i2.chuimg.com/b374f18914ff4249bc1de7f852d8cf39_750w_750h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南米线帽子,https://i2.chuimg.com/a360a38323aa4273b8aa5aa4a3fb6f6c_1074w_1434h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
傣味舂鸡脚,https://i2.chuimg.com/3c614614e0c34905be48be751f26e4b2_743w_743h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
茴香老奶洋芋/土豆泥,https://i2.chuimg.com/f32c10614597472193f7b3b640b8eda9_1280w_720h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
料真多云南米线,https://i2.chuimg.com/078a403bd8b04a79ac6c83d4d10ac998_1080w_864h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南小黑药炖肉,https://i2.chuimg.com/b45b8f8487f346a2b5a1790262bcd476_387w_387h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南包浆豆腐,https://i2.chuimg.com/9dfee353c1d04314ad3803288c8fb2fb_1920w_1080h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
自珍版云南小锅米线,https://i2.chuimg.com/1a07581a30fb4f308d1f634a68032a8a_3147w_2557h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
春之味—云南灰挑菜,https://i2.chuimg.com/d67dbef62faa41be81d9300819ea8f95_1024w_768h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南油炸鸡枞＆鸡枞油,https://i2.chuimg.com/73485e1d6f25499ba95404cc584241c4_748w_1000h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
清香扑鼻的茉莉花炒蛋，地道云南菜～！,https://i2.chuimg.com/9ce4b0aea51941d5b5a649b6d886fb5a_1080w_864h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,6.9
云南人做的油泼面,https://i2.chuimg.com/3bf19989e15e481d857db2843e47319f_1280w_960h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
昆明老味道（蠹du/鱼）,https://i2.chuimg.com/56290def38014c68832b18384fdc9beb_1280w_575h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
【泡鲁达】云南小吃、古茗新品复刻,https://i2.chuimg.com/13a9e56838ab4ea394c5b270a3f7620f_1080w_1619h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
柠檬爽口拌菜（云南口味）,https://i2.chuimg.com/c08ef25c242a495b8286b8986743e1a7_3414w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
昆明味道凉米线,https://i2.chuimg.com/d14964b4568846d081015a4abb5c2d8b_1151w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南臭豆腐砂锅米线,https://i2.chuimg.com/ab9d05ff3eeb43dda440faae47d605b6_1280w_960h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南本地人人人都会的一道菜：土鸡汤,https://i2.chuimg.com/36f200a2da244e1b9da6411511a5115d_1152w_864h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
健康素食云南小瓜木耳炒鸡蛋,https://i2.chuimg.com/404e10fe23854b2daf08e922abfad5d8_1080w_864h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
正经的云南破酥包（附青豆角肉馅和糖馅配方）,https://i2.chuimg.com/172c633753554ab497e7bc77f6432ead_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南蚕豆火腿焖饭,https://i2.chuimg.com/a8714367139046d0be2c0c394182016d_851w_1280h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南铜瓢米线和肉臊,https://i2.chuimg.com/8995c994fe6a4abf899fe1fcbd284f7c_3840w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南小锅米线,https://i2.chuimg.com/7f51cc906615448585f042287aa0a761_1280w_960h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
夹沙荞饼（传统滇味糕点）,https://i2.chuimg.com/5455d6d7b7e542899cc43c1d1fa461fc_650w_1156h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
永远吃不腻的云南米线，全家都爱吃,https://i2.chuimg.com/d1cf748f7098450d82adace8f93bb58a_3414w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
