name,img,points
脆的掉渣的❤天津糖堆儿❤北京冰糖葫芦,https://i2.chuimg.com/4b296d6be1c44cfeae4eb99112cb2da6_480w_384h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京早点糖油饼,https://i2.chuimg.com/40147d80248c4eb88c5c06209b3ac786_1080w_864h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京最好吃的羊蝎子火锅,https://i2.chuimg.com/5d441090580e440284a7a9eefc3dcb22_1280w_1280h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
京酱肉丝这么吃倍儿香！😋（北京传统酱香味道）,https://i2.chuimg.com/a4781836911e40abaeb25155e34e9af2_1088w_1632h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
【老北京奶卷】草莓味,https://i2.chuimg.com/c7d9596be91a49db8d1731f7de1da236_1080w_721h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
山西小吃“抿尖”北京这边叫“擦仡斗”,https://i2.chuimg.com/a38d496a8b8440f3904f5d40c0353a9c_662w_684h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
精致好菜#北京四喜丸子~除夕团团圆圆,https://i2.chuimg.com/c2be86348ada4005b930f9a4bfee04e1_472w_703h.png?imageView2/1/w/215/h/136/interlace/1/q/75,0
超简单的北京炸酱,https://i2.chuimg.com/d5a840ab1244454d8fc45d4561c5ef2b_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
林育玮大师的溏心维也纳（北京版）,https://i2.chuimg.com/9e83eb85cdb64dbf862e916ced7cdbbe_1152w_864h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,9.0
北京涮羊肉小料,https://i2.chuimg.com/c7896bd06bbc4dffa0eea0fe95186164_1134w_1134h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
中国名菜之荤改纯素系列二：纯素老北京炸酱面,https://i2.chuimg.com/2b4468f7d86a4ff3afcb49742ec895cb_2668w_1778h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.9
北京名吃驴打滚,https://i2.chuimg.com/aca58bfd11974d468677d16fda52fbc0_1128w_1128h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京早点，豆泡汤,https://i2.chuimg.com/865419500c4b4eb58c705a7a49d80268_1280w_1706h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京人的老北京炸酱面,https://i2.chuimg.com/05a17b8de8dc40c7baba3511798a6d4a_1552w_1242h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
薄饼（卷菜、北京烤鸭）,https://i2.chuimg.com/5a2b2f5d92d84f5ebe7205cdd4f482e4_960w_1280h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京炸酱面,https://i2.chuimg.com/31f7f8bf2e7540119e6f9c57e5be7cef_1152w_867h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
炸灌肠,https://i2.chuimg.com/6ee754df7a1d479c9ec11a8592ba9053_2000w_1125h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京味道疙瘩汤,https://i2.chuimg.com/c6998b62d7744e999b4fc7a4acb1a19d_3414w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
[北京80后的童年奢侈品]三宝乐经典奶油面包条,https://i2.chuimg.com/52b5c753f314450e9cae3c08a9c551fa_960w_1280h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京炸三角,https://i2.chuimg.com/2e118bfea7674f0cbbaca5fbde1f9a4e_3024w_4032h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京果木烤鸭—招待客人最高水准，全聚德同款（烤箱版）,https://i2.chuimg.com/ca4858ce2ebf41c9913e4c7d8f847b8e_1080w_864h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京素馅/白菜花生米素馅/饺子,https://i2.chuimg.com/634121548af84b3c90dd24317706f997_1280w_960h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
蒸懒龙-北京特色面食,https://i2.chuimg.com/a4dbfc20c6404f0db9c45fbef72b89f1_750w_600h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京火锅蘸料做法（北极虾油王）,https://i2.chuimg.com/27df27ce2c4d46e2a160205d7a07547d_1080w_774h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
【西红柿鸡蛋炸酱面】北京家常菜,https://i2.chuimg.com/9b54dbe5eb404fccba9b736496c9816f_1652w_2203h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京打卤面,https://i2.chuimg.com/5fab5a397fdf425999682de9cbf0b752_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京炸酱面——妈妈家的秘制炸酱配方,https://i2.chuimg.com/509945071d92489fb46df74224730982_2999w_2999h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
（改良自来红）北京老式核桃小月饼,https://i2.chuimg.com/cac558277ea64a52bb13028b70e71495_1176w_1176h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
减脂一人食,https://i2.chuimg.com/081620b762f34ecebbb2be3c58f5c6eb_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
京味儿十足：老北京家常素烧茄子（简单易做零失败，⬇️另附⬇️肉烧版做法🧚‍♀️）,https://i2.chuimg.com/4d34004aedef450fbbd844179c11b7f3_751w_600h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,9.2
不喇嗓子的玉米面北京Pizza俗称烀饼,https://i2.chuimg.com/33e2f7c6114c4cd0a0e6c1a1e7dcd890_3024w_3024h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京炸酱面,https://i2.chuimg.com/9289aa0b36d24ef6be582e8720b69b94_1280w_1706h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京回民～清汤羊骨,https://i2.chuimg.com/326b6018d2854405b8c16df99e0ad5d3_1080w_1920h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京二八酱面包卷吐司,https://i2.chuimg.com/763d2c005f484567ad6c6c1cf33ae3f1_768w_1024h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京炸藕盒,https://i2.chuimg.com/09771526f7e947c1af9643f9fca76755_3461w_2769h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京肉龙【蒸炖锅食谱12月】,https://i2.chuimg.com/6a4b3c6929c142f398a08f1db601d308_1280w_1024h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.6
天然酵种(鲁邦种)低温发酵,https://i2.chuimg.com/92c7081aeef04439a425965683d80c44_2016w_1134h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.2
北京早点摊的豆腐脑（附豆花做法）,https://i2.chuimg.com/b353cd590e8940cbad2525f880d26286_4032w_3024h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
